年龄,教育,工龄,地址,收入,负债率,信用卡负债,其他负债,违约
27,2,8,4,38,6.9,0.36,2.26,0
45,1,17,0,62,15,2.44,6.86,0
37,1,9,8,57,5.5,1.36,1.78,0
29,2,3,6,26,6.1,0.54,1.05,1
51,1,10,1,44,13.2,4.96,0.85,1
22,3,0,0,23,8.4,0.37,1.56,1
30,4,7,10,30,15.7,0.26,4.45,0
31,1,7,2,20,12.3,0.11,2.35,0
28,1,2,0,18,14.8,1.94,0.72,1
35,1,10,16,39,5.7,0.22,2.01,0
25,4,1,1,34,8.5,0.13,2.76,1
32,2,5,0,28,14.8,2.59,1.55,1
33,1,2,10,24,9.6,1.04,1.26,0
28,2,3,4,41,25.1,5.9,4.39,1
46,3,4,17,73,5.4,2.22,1.72,0
41,1,24,12,83,14,6.59,5.03,0
42,2,11,5,73,6.8,2.87,2.09,0
41,4,9,13,47,5,0.44,1.91,0
26,1,3,5,29,25.7,2.53,4.93,1
47,1,27,8,113,9.2,2.38,8.02,0
29,1,1,3,18,25.6,1.98,2.63,1
34,1,3,14,36,4.7,0.62,1.07,0
36,1,7,2,43,6.2,1.04,1.63,0
38,2,7,4,64,3,0.65,1.27,0
41,2,4,14,26,19.2,1.47,3.52,1
46,1,9,23,31,13.8,1.62,2.66,0
40,3,3,15,55,16.5,1.75,7.32,1
44,2,17,0,129,2.5,0.55,2.67,0
35,3,10,15,39,10.4,1.6,2.45,0
36,1,20,15,60,5.4,1.06,2.18,0
28,2,0,3,30,4.8,0.12,1.32,1
29,2,6,7,18,5.1,0.45,0.47,1
23,2,3,3,22,11.4,1.27,1.23,1
41,2,7,17,63,15.4,4.64,5.06,0
25,1,1,1,19,6.9,0.19,1.12,0
45,2,2,19,29,5.4,0.44,1.12,0
48,2,30,14,148,7.2,3.97,6.68,0
38,1,18,7,45,7,0.54,2.61,0
29,1,6,4,46,5.4,1.17,1.31,0
42,4,15,8,186,3.6,2.4,4.29,0
31,1,11,12,47,10.9,2.86,2.26,0
40,1,3,13,23,6.9,0.41,1.18,0
26,1,2,6,21,19.8,1.02,3.14,0
25,1,6,6,22,20.2,2.26,2.18,0
53,4,7,11,61,7.9,1.87,2.94,0
50,3,18,27,102,14.1,5.78,8.6,0
47,1,31,9,136,23.1,14.23,17.18,1
23,1,1,0,21,8.4,1.21,0.55,1
37,3,12,8,83,4.1,0.32,3.08,0
41,1,24,15,100,11.5,5.06,6.44,0
28,2,0,7,29,13.3,2.15,1.71,1
31,1,7,11,41,30.7,3,9.59,1
41,2,6,1,19,6.3,0.12,1.07,0
36,1,7,17,40,9.9,1.69,2.27,0
41,1,1,16,19,4.4,0.24,0.59,0
53,2,16,31,44,5.6,1.33,1.13,0
31,2,6,5,25,11.5,2.33,0.54,0
28,2,5,6,25,2.9,0.34,0.39,0
48,1,28,25,70,12,4.33,4.07,0
23,2,0,1,42,3.9,1.02,0.62,1
31,1,11,6,34,6.8,0.3,2.01,0
27,1,6,6,43,4.9,0.88,1.22,0
43,1,11,17,37,1.3,0.18,0.3,0
29,2,5,7,28,18.7,2.13,3.11,0
53,1,6,7,27,6.4,0.59,1.13,1
38,1,4,9,19,13.6,1.25,1.34,0
30,1,12,10,38,8.5,0.17,3.06,0
28,3,2,0,20,9.4,0.23,1.65,1
36,1,11,2,33,32.5,1.27,9.46,0
48,1,15,5,60,2.1,0.32,0.94,0
31,1,12,9,24,6.6,0.44,1.14,0
35,1,16,10,57,10.5,1.14,4.84,0
50,1,4,4,23,12.5,0.14,2.73,0
42,2,12,9,55,15,2.53,5.72,0
40,1,2,3,28,7.1,0.18,1.8,0
37,2,0,13,31,0.9,0.12,0.16,1
31,3,6,8,54,2.8,0.4,1.11,0
38,1,11,13,35,8,1.27,1.53,0
35,1,15,1,77,10.6,5.5,2.66,0
44,1,24,10,101,5.6,2.99,2.66,0
44,2,21,14,113,13.2,3.19,11.72,0
33,1,0,12,23,0.9,0.08,0.13,0
35,1,7,14,29,4.9,0.26,1.16,0
36,3,10,4,43,13,0.96,4.63,0
23,2,3,4,24,6.3,0.55,0.96,0
27,1,0,7,18,12.8,0.58,1.72,0
34,1,6,1,20,1.2,0.04,0.2,0
35,1,0,5,34,11.1,1.37,2.4,1
24,2,4,4,20,3.7,0.32,0.42,0
48,1,30,8,101,6.4,1.87,4.59,0
26,2,8,1,40,11.8,0.44,4.28,0
40,1,6,9,36,2.1,0.39,0.37,1
34,1,9,8,48,9.3,0.42,4.04,0
35,1,17,4,42,3,0.09,1.17,0
30,1,7,2,33,25.4,1.17,7.22,1
20,1,4,0,14,9.7,0.2,1.16,1
36,4,1,17,30,11.5,0.32,3.13,0
21,1,1,1,16,6.3,0.14,0.87,0
34,1,18,10,53,10.5,0.84,4.72,0
35,1,7,5,39,16.1,1.7,4.58,1
35,3,1,4,20,7.9,0.85,0.73,0
34,1,10,1,33,10.3,2.5,0.9,1
33,1,12,12,68,10.8,1.37,5.98,0
30,1,4,2,18,10.7,0.23,1.7,0
24,2,0,5,16,7.3,0.02,1.14,0
47,1,31,8,253,7.2,9.31,8.91,0
53,1,0,26,27,28.9,2.75,5.05,1
22,3,0,2,20,4.7,0.22,0.72,0
48,2,6,1,66,12.1,2.32,5.67,0
36,2,6,15,27,4.6,0.26,0.98,1
29,2,6,4,21,11.5,0.37,2.05,0
33,1,15,3,32,7.6,0.49,1.94,0
45,1,19,22,77,8.4,2.3,4.17,0
37,1,12,14,44,14.7,2.99,3.47,0
